policy_number,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,has_umbrella_coverage,total_premiums_paid,Contract Years,insured_sex,insured_education_level,insured_occupation,insured_hobbies,hobby_risk_level,insured_relationship,months_as_customer,customer_category,capital-gains,capital-loss,insured_zip,age_category,incident_date,days_until_incident,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,incident_time_of_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,authorities_contacted,total_claim_amount,injury_claim,property_claim,vehicle_claim,per_person_limit,per_event_limit,auto_make,auto_model,auto_year,fraud_reported_mapped,fraud_reported
521585,48.0,2014-10-17,Ohio,250/500,1000.0,1406.91,0,False,38455.54,27,MALE,MD,craft-repair,sleeping,Low Risk,husband,328,Long-Term Client,53300.0,0,466132,Middle Aged,2015-01-25,100,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,9935 4th Drive,5,Late Night,1,YES,1,2,YES,Police,71610.0,6510.0,13020.0,52080,250,500,Saab,92x,2004,1,Y
342868,42.0,2006-06-27,Indiana,250/500,2000.0,1197.22,5000000,True,22747.18,19,MALE,MD,machine-op-inspct,reading,Low Risk,other-relative,228,Long-Term Client,0.0,0,468176,Middle Aged,2015-01-21,3130,Vehicle Theft,Unknown,Minor Damage,VA,Riverwood,6608 MLK Hwy,8,Morning,1,Unknown,0,0,Unknown,Police,5070.0,780.0,780.0,3510,250,500,Mercedes,E400,2007,1,Y
687698,29.0,2000-09-06,Ohio,100/300,2000.0,1413.14,5000000,True,15780.06,11,FEMALE,PhD,sales,board-games,Low Risk,own-child,134,Established Client,35100.0,0,430632,Young Adult,2015-02-22,5282,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,7121 Francis Lane,7,Morning,3,NO,2,3,NO,Police,34650.0,7700.0,3850.0,23100,100,300,Dodge,RAM,2007,0,N
227811,41.0,1990-05-25,Illinois,250/500,2000.0,1415.74,6000000,True,30202.45,21,FEMALE,PhD,armed-forces,reading,Low Risk,unmarried,256,Long-Term Client,48900.0,-62400,608117,Middle Aged,2015-01-10,8996,Single Vehicle Collision,Front Collision,Major Damage,OH,Arlington,6956 Maple Drive,5,Late Night,1,Unknown,1,2,NO,Police,63400.0,6340.0,6340.0,50720,250,500,Chevrolet,Tahoe,2014,1,Y
367455,44.0,2014-06-06,Illinois,500/1000,1000.0,1583.91,6000000,True,30094.29,19,MALE,Associate,sales,reading,Low Risk,unmarried,228,Long-Term Client,66000.0,-46000,610706,Middle Aged,2015-02-17,256,Vehicle Theft,Unknown,Minor Damage,NY,Arlington,3041 3rd Ave,20,Evening,1,NO,0,1,NO,None,6500.0,1300.0,650.0,4550,500,1000,Accura,RSX,2009,0,N
104594,39.0,2006-10-12,Ohio,250/500,1000.0,1351.1,0,False,28823.47,21,FEMALE,PhD,tech-support,bungie-jumping,High Risk,unmarried,256,Long-Term Client,0.0,0,478456,Middle Aged,2015-01-02,3004,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Arlington,8973 Washington St,19,Evening,3,NO,0,2,NO,Fire,64100.0,6410.0,6410.0,51280,250,500,Saab,95,2003,1,Y
413978,34.0,2000-06-04,Indiana,250/500,1000.0,1333.35,0,False,15222.41,11,MALE,JD,prof-specialty,board-games,Low Risk,husband,137,Established Client,0.0,-77000,441716,Middle Aged,2015-01-13,5336,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,5846 Weaver Drive,0,Late Night,3,Unknown,0,0,Unknown,Police,78650.0,21450.0,7150.0,50050,250,500,Nissan,Pathfinder,2012,0,N
429027,37.0,1990-02-03,Illinois,100/300,1000.0,1137.03,0,False,15634.16,14,MALE,Associate,tech-support,base-jumping,High Risk,unmarried,165,Long-Term Client,0.0,0,603195,Middle Aged,2015-02-27,9155,Multi-vehicle Collision,Front Collision,Total Loss,VA,Columbus,3525 3rd Hwy,23,Evening,3,Unknown,2,2,YES,Police,51590.0,9380.0,9380.0,32830,100,300,Audi,A5,2015,0,N
485665,33.0,1997-02-05,Illinois,100/300,500.0,1442.99,0,False,3246.73,2,FEMALE,PhD,other-service,golf,Low Risk,own-child,27,Established Client,0.0,0,601734,Middle Aged,2015-01-30,6568,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,4872 Rock Ridge,21,Evening,1,NO,1,1,YES,Police,27700.0,2770.0,2770.0,22160,100,300,Toyota,Camry,2012,0,N
636550,42.0,2011-07-25,Illinois,100/300,500.0,1315.68,0,False,23243.68,18,MALE,PhD,priv-house-serv,camping,Low Risk,wife,212,Long-Term Client,0.0,-39300,600983,Middle Aged,2015-01-05,1260,Single Vehicle Collision,Rear Collision,Total Loss,NC,Hillsdale,3066 Francis Ave,14,Afternoon,1,NO,2,1,Unknown,Other,42300.0,4700.0,4700.0,32900,100,300,Saab,92x,1996,0,N
